Title,Image URL,Brand,Category,modello,versione,canone_mensile,sku,Link,Post Type,_wp_page_template,durata_mesi,anticipo,km_annui,cambio,combustibile,_edit_last,tempo_consegna,slug_id,_thumbnail_id,promo_settings_tab,promo_settings,prezzo_giornalero_breve,km_giornalero_breve,prezzo_settimanale_breve,km_settimanale_breve,prezzo_mensile_breve,km_mensile_breve,cauzione_breve,costo_chilometro_breve,promo,breve,_wp_old_slug,_wp_attached_file,_wp_attachment_metadata,_wp_trash_meta_status,_wp_trash_meta_time,_wp_desired_post_slug
TOYOTA Aygo X,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/TOYOTA-AYGO-X-158.avif,TOYOTA,City Car,Aygo X,Aygo X 1.5 Hybrid 115 CV 5 porte,272,TOYOTA-AYGO-X-158,https://mirkod40.sg-host.com/noleggiolungotermine/toyota-aygo-x/,noleggiolungotermine,default,48,1780,10000,manuale,Ibrida,1,garanzia_mobilita,TOYOTA-AYGO-X-158,1719,,,,,,,,,,,,,,,,,,
VOLKSWAGEN T-ROC 1.5,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/VOLKSWAGEN_T20Rock.png,VOLKSWAGEN,SUV / Crossover,T Roc,1.5 eTSI ACT DSG Life,436,VOLKSWAGEN-T-ROC-102,https://mirkod40.sg-host.com/noleggiolungotermine/volkswagen-t-roc/,noleggiolungotermine,default,48,2860,30000,automatico,Benzina,1,garanzia_mobilita,VOLKSWAGEN-T-ROC-102,1741,,,50,100,325,700,1000,2000,,,false,true,,,,,,
FORD Puma,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/FORD-PUMA-30.png,FORD,Veicoli commerciali,Puma,Puma 1.0 EcoBoost Hybrid 125 CV S&amp;S ST-Line,425,FORD-PUMA-30,https://mirkod40.sg-host.com/noleggiolungotermine/ford-puma/,noleggiolungotermine,default,48,2560,30000,manuale,Diesel,1,garanzia_mobilita,FORD Puma,1713,,,,,,,,,,,,,,,,,,
TOYOTA YARIS CROSS,,TOYOTA,SUV / Crossover,YARIS CROSS,Yaris Cross 1.5 Hybrid 5p. E-CVT Active,370,TOYOTA-YARIS-CROSS-171,https://mirkod40.sg-host.com/noleggiolungotermine/toyota-yaris-cross/,noleggiolungotermine,default,48,2430,20000,automatico,Ibrida,1,garanzia_mobilita,TOYOTA-YARIS-CROSS-171,,,,,,,,,,,,,,,,,,,
OPEL Frontera,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/OPEL_Frontera-3.png,OPEL,SUV / Crossover,Frontera,Hybrid 100 Cv Edct,369,OPEL-FRONTERA-137,https://mirkod40.sg-host.com/noleggiolungotermine/opel-frontera/,noleggiolungotermine,default,48,2220,20000,automatico,Ibrida,1,garanzia_mobilita,OPEL Frontera,1733,,,,,,,,,,,,,,,,,,
FORD Transit Courier,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/FORD-Transit-COURIER-160.png,FORD,Veicoli commerciali,Transit Courier,Transit Courier 1.0 EcoBoost 100CV Van Trend,386,FORD-Transit-COURIER-160,https://mirkod40.sg-host.com/noleggiolungotermine/ford-tourneo-courier/,noleggiolungotermine,default,48,2130,20000,manuale,Benzina,1,garanzia_mobilita,FORD Transit Courier,1711,,,,,,,,,,,,,,,,,,
TOYOTA C-HR,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/TOYOTA-C-HR-121.avif,TOYOTA,SUV / Crossover,C-HR,C-HR 1.8 HV Active,468,TOYOTA-C-HR-121,https://mirkod40.sg-host.com/noleggiolungotermine/toyota-c-hr/,noleggiolungotermine,default,48,3000,30000,automatico,Ibrida,1,garanzia_mobilita,,1717,,,,,,,,,,,,,,,,,,
VOLKSWAGEN Golf,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/VOLKSWAGEN_Golf-3.png,VOLKSWAGEN,Berlina,Golf,Golf 1.5 eTSI 115 CV DSG Life,475,VOLKSWAGEN-GOLF-103,https://mirkod40.sg-host.com/noleggiolungotermine/volkswagen-golf/,noleggiolungotermine,default,48,2900,30000,automatico,Ibrida,1,garanzia_mobilita,VOLKSWAGEN-Golf,1739,,,,,,,,,,,,,,,,,,
CITROEN Berlingo,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/CITROEN_Berlingo-.png,CITROEN,Veicoli commerciali,Berlingo,Bluehdi 100 S&amp;s Van M,420,CITROEN-BERLINGO-22,https://mirkod40.sg-host.com/noleggiolungotermine/citroen-berlingo/,noleggiolungotermine,default,48,2370,20000,automatico,Diesel,1,garanzia_mobilita,CITROEN-BERLINGO-22,1697,,,,,,,,,,,,,,,,,,
AUDI Q3 SPB,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/Q3-SPB-TFSI-110-kW-mHEV-S-tronic-Business-1.png,AUDI,SUV / Crossover,Q3 SPB,35 Tdi S Tronic Business Plus,546,AUDI-Q3-SPB-131,https://mirkod40.sg-host.com/noleggiolungotermine/audi-q3-spb/,noleggiolungotermine,default,48,3740,30000,automatico,Ibrida,1,garanzia_mobilita,AUDI-Q3-SPB-131,1679,,,,,,,,,,,,,,,,,,
SKODA Kodiaq,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/SKODA-KODIAQ-48.avif,SKODA,SUV / Crossover,Kodiaq,Kodiaq 1.5 TSI Hybrid DSG 7 posti Executive,514,SKODA-KODIAQ-48,https://mirkod40.sg-host.com/noleggiolungotermine/skoda-kodiaq/,noleggiolungotermine,default,48,3500,30000,automatico,Ibrida,1,garanzia_mobilita,SKODA-KODIAQ-48,1748,,,,,,,,,,,,,,,,,,
SKODA Karoq,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/SKODA_Karoq-3.png,SKODA,SUV / Crossover,Karoq,Karoq 2.0 TDI SCR DSG Executive,679,SKODA-KAROQ-152,https://mirkod40.sg-host.com/noleggiolungotermine/skoda-karoq/,noleggiolungotermine,default,48,3280,30000,automatico,Diesel,1,garanzia_mobilita,SKODA-KAROQ-152,1749,,,,,,,,,,,,,,,,,,
AUDI A3,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/A3-SPB-TDI-110-kW-S-tronic-Business.png,AUDI,Berlina,A3,A3 SPB TDI 110 kW S tronic Business ,477,AUDI-A3-154,https://mirkod40.sg-host.com/noleggiolungotermine/audi-a3/,noleggiolungotermine,default,48,3250,20000,automatico,Diesel,1,garanzia_mobilita,,1680,,,,,,,,,,,,,,,,,,
FORD Transit Custom,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/FORD-TRANSIT-CUSTOM-21.png,FORD,Veicoli commerciali,Transit Custom,320 2.0 Ecoblue 136cv Pc Furgone Trend,472,FORD-TRANSIT-CUSTOM-21,https://mirkod40.sg-host.com/noleggiolungotermine/ford-transit-custom/,noleggiolungotermine,default,48,3780,20000,manuale,Diesel,1,garanzia_mobilita,FORD Transit Custom,1710,,,,,,,,,,,,,,,,,,
VOLKSWAGEN Passat,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/VOLKSWAGEN_Passat-3.png,VOLKSWAGEN,Station Wagon,Passat,Passat 2.0 TDI 122 CV SCR DSG Business,760,VOLKSWAGEN-PASSAT-101,https://mirkod40.sg-host.com/noleggiolungotermine/volkswagen-passat/,noleggiolungotermine,default,48,4040,30000,automatico,Diesel,1,garanzia_mobilita,VOLKSWAGEN-Passat,1738,,,,,,,,,,,,,,,,,,
AUDI Q3,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/Q3-TDI-110-kW-S-tronic-Business.png,AUDI,SUV / Crossover,Q3,Tdi 110 Kw S Tronic Business,582,AUDI-Q3-3,https://mirkod40.sg-host.com/noleggiolungotermine/audi-q3/,noleggiolungotermine,default,48,3700,40000,automatico,Diesel,1,garanzia_mobilita,,1681,,,,,,,,,,,Si,false,,,,,,
TOYOTA Yaris,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/TOYOTA-Yaris.avif,TOYOTA,Berlina,Yaris,Yaris 1.5 Hybrid 5 porte Trend,311,TOYOTA-Yaris,https://mirkod40.sg-host.com/noleggiolungotermine/toyota-yaris/,noleggiolungotermine,default,48,2200,10000,automatico,Ibrida,1,garanzia_mobilita,TOYOTA-Yaris,1715,,,,,,,,,,,,,toyota-rav4,,,,,
AUDI A5 Avant,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/AUDI-A5-Avant-TDI-150-kW-mHEV-S-tronic-quattro-Business.png,AUDI,Station Wagon,A5 Avant,Tdi 150 Kw Quattro S Tronic Mhev+ Business,679,AUDI-A5-AVANT-132,https://mirkod40.sg-host.com/noleggiolungotermine/audi-a5-avant/,noleggiolungotermine,default,48,5110,40000,automatico,Ibrida,1,garanzia_mobilita,,1682,,,,,,,,,,,Si,false,,,,,,
AUDI Q5 3',https://mirkod40.sg-host.com/wp-content/uploads/2025/11/Q5-TDI-150-kW-mHEV-S-tronic-quattro-Business.png,AUDI,SUV / Crossover,Q5 3',Tdi 150 Kw Mhev+ S Tronic Quattro Business,799,AUDI-Q5-3'-104,https://mirkod40.sg-host.com/noleggiolungotermine/audi-q5-3/,noleggiolungotermine,default,48,5660,40000,automatico,Ibrida,1,garanzia_mobilita,,1683,,,,,,,,,,,Si,false,,,,,,
MERCEDES GLC 220,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/MERCEDES-BENZ_GLC-3.png,MERCEDES-BENZ,SUV / Crossover,GLC,GLC 220 d 4Matic Mild Hybrid Advanced,800,MERCEDES-GLC-220,https://mirkod40.sg-host.com/noleggiolungotermine/mercedes-benz-glc/,noleggiolungotermine,default,60,5640,40000,automatico,Ibrida,1,garanzia_mobilita,MERCEDES-GLC-220,1758,,,,,,,,,,,Si,false,,,,,,
CITROEN C3 PureTech,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/CITROEN-C3-PureTech.avif,CITROEN,Berlina,C3 PureTech,C3 PureTech 100 S&amp;&amp;S Plus,273,CITROEN-PureTech ,https://mirkod40.sg-host.com/noleggiolungotermine/citroen-c3-puretech/,noleggiolungotermine,default,48,1580,10000,manuale,Benzina,1,garanzia_mobilita,CITROEN-PureTech ,1696,,,,,,,,,,,,,,,,,,
SKODA Fabia,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/SKODA_Fabia.png,SKODA,City Car,Fabia,Fabia 1.0 MPI 80 CV Selection,273,SKODA-Fabia-48,https://mirkod40.sg-host.com/noleggiolungotermine/skoda-fabia/,noleggiolungotermine,default,48,1760,10000,manuale,Benzina,1,garanzia_mobilita,SKODA-Fabia-48,1746,,,,,,,,,,,,,,,,,,
SUZUKI Swift,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/SUZUKI-Swift.jpg,SUZUKI,City Car,Swift,Swift 1.2 Hybrid Waku,258,SUZUKI-Swift,https://mirkod40.sg-host.com/noleggiolungotermine/suzuki-swift/,noleggiolungotermine,default,48,1780,10000,manuale,Ibrida,1,garanzia_mobilita,SUZUKI-Swift,1760,,,,,,,,,,,,,,,,,,
ALFA ROMEO JUNIOR,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/Junior-1.2-145-CV-Hybrid-eDCT6-Sprint.avif,ALFA,SUV / Crossover,CV Hybrid,1.2 145 CV Hybrid eDCT6 Sprint,474,ALFA-ROMEO-JUNIOR,https://mirkod40.sg-host.com/noleggiolungotermine/alfa-romeo-junior-1-2/,noleggiolungotermine,default,48,2770,30000,automatico,Ibrida,1,garanzia_mobilita,,1685,,,,,,,,,,,,,,,,,,
BMW X1,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/X1-sDrive-18d.avif,BMW,SUV / Crossover,sDrive ,sDrive 18d,534,BMW-X1,https://mirkod40.sg-host.com/noleggiolungotermine/bmw-x1/,noleggiolungotermine,default,48,3740,30000,automatico,Diesel,1,garanzia_mobilita,BMW-X1,1688,,,,,,,,,,,Si,false,,,,,,
BMW X2,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/X2-sDrive-18d.avif,BMW,SUV / Crossover,sDrive ,X2 sDrive 18d,576,X2 sDrive 18d,https://mirkod40.sg-host.com/noleggiolungotermine/bmw-x2/,noleggiolungotermine,default,48,3930,30000,automatico,Diesel,1,garanzia_mobilita,X2-sDrive-18d,1690,,,,,,,,,,,,,,,,,,
BMW 118d,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/BMW-118d.jpg,BMW,Berlina,118d,118d,493,118d,https://mirkod40.sg-host.com/noleggiolungotermine/bmw-118d/,noleggiolungotermine,default,48,3350,30000,automatico,Diesel,1,garanzia_mobilita,BMW -118d,1771,,,,,,,,,,,,,,,,,,
BMW X3,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/bmw-x3.avif,BMW,SUV / Crossover, X3 xDrive20d 48V, X3 xDrive20d 48V,771, X3-xDrive20d-48V,https://mirkod40.sg-host.com/noleggiolungotermine/bmw-x3/,noleggiolungotermine,default,48,5680,40000,automatico,Ibrida,1,garanzia_mobilita, X3-xDrive20d-48V,1695,,,,,,,,,,,Si,false,,,,,,
CITROEN C3 Aircross,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/CITROEN-C3-Aircross.avif,CITROEN,SUV / Crossover,CITROEN C3 Aircross,C3 Aircross Hybrid 145 CV e-DCS6 Plus,362,CITROEN-C3-Aircross,https://mirkod40.sg-host.com/noleggiolungotermine/citroen-c3-aircross/,noleggiolungotermine,default,48,2240,20000,automatico,Ibrida,1,garanzia_mobilita,CITROEN-C3-Aircross,1699,,,,,,,,,,,,,,,,,,
CUPRA Leon 1.5,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/CUPRA-Leon.avif,CUPRA,Berlina,CUPRA Leon,Leon 1.5 Hybrid 150 CV DSG,454,CUPRA-Leon,https://mirkod40.sg-host.com/noleggiolungotermine/cupra-leon-1-5/,noleggiolungotermine,default,48,3130,30000,automatico,Ibrida,1,garanzia_mobilita,CUPRA-Leon,1701,,,,,,,,,,,,,,,,,,
CUPRA Formentor,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/CUPRA-Formentor.avif,CUPRA,SUV / Crossover,CUPRA Formentor,Formentor 1.5 Hybrid DSG,504,CUPRA-Formentor,https://mirkod40.sg-host.com/noleggiolungotermine/cupra-formentor/,noleggiolungotermine,default,48,3420,30000,automatico,Benzina,1,garanzia_mobilita,CUPRA-Formentor,1703,,,,,,,,,,,,,,,,,,
FIAT Pandina,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/FIAT-Pandina.avif,FIAT,City Car,FIAT Pandina,Pandina 1.0 FireFly 65 CV Hybrid Icon,231,FIAT-Pandina,https://mirkod40.sg-host.com/noleggiolungotermine/fiat-pandina/,noleggiolungotermine,default,48,1490,10000,manuale,Ibrida,1,garanzia_mobilita,FIAT-Pandina,1705,,,,,,,,,,,,,,,,,,
FIAT 600 Hybrid,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/FIAT_600.png,FIAT,City Car,FIAT 600,600 Hybrid 110 CV DCT MHEV Pop,324,FIAT-600,https://mirkod40.sg-host.com/noleggiolungotermine/fiat-600/,noleggiolungotermine,default,48,2190,20000,automatico,Ibrida,1,garanzia_mobilita,FIAT-600,1785,,,45,60,250,500,850,1500,,,false,true,,,,,,
FIAT Ducato,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/FIAT-Ducato.avif,FIAT,Veicoli commerciali,FIAT Ducato,Ducato 33 2.2 Mjt 120CV PM-TN Furgone,586,FIAT-Ducato,https://mirkod40.sg-host.com/noleggiolungotermine/fiat-ducato/,noleggiolungotermine,default,48,3790,20000,automatico,Diesel,1,garanzia_mobilita,FIAT-Ducato,1709,,,,,,,,,,,,,,,,,,
NISSAN Juke,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/NISSAN-Juke.avif,NISSAN,SUV / Crossover,Juke,Juke 1.0 DIG-T 114 CV Acenta,314,NISSAN-Juke,https://mirkod40.sg-host.com/noleggiolungotermine/nissan-juke/,noleggiolungotermine,default,48,2150,20000,automatico,Benzina,1,garanzia_mobilita,NISSAN-Juke,1722,,,,,,,,,,,,,,,,,,
PEUGEOT 3008,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/PEUGOT3008-.png,PEUGEOT,SUV / Crossover,PEUGEOT 3008,3008 Hybrid 145 e-DCS6 Allure,426,PEUGEOT-3008,https://mirkod40.sg-host.com/noleggiolungotermine/peugeout-3008/,noleggiolungotermine,default,48,3430,30000,automatico,Diesel,1,garanzia_mobilita,PEUGEOT-3008,1831,,,50,100,325,700,1000,2000,,,,true,nissan-juke-copy,,,,,
PEUGEOT 308,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/PEUGEOT-308.avif,PEUGEOT,Station Wagon,PEUGEOT 308,308 Hybrid 145 e-DCS6 SW Business,414,PEUGEOT-308,https://mirkod40.sg-host.com/noleggiolungotermine/peugeot-308/,noleggiolungotermine,default,48,2960,20000,automatico,Benzina,1,garanzia_mobilita,PEUGEOT-308,1727,,,,,,,,,,,,,,,,,,
PEUGEOT 5008,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/PEUGEOT-5008.avif,PEUGEOT,SUV / Crossover,PEUGEOT 5008,5008 Hybrid 145 e-DCS6 Allure,628,PEUGEOT-5008,https://mirkod40.sg-host.com/noleggiolungotermine/peugeot-5008/,noleggiolungotermine,default,48,3730,30000,automatico,Ibrida,1,garanzia_mobilita,PEUGEOT-5008,1729,,,,,,,,,,,,,,,,,,
RENAULT 5,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/RENAULT-5.avif,RENAULT,City Car,RENAULT 5,5 E-Tech Electric 150 CV Comfort Range Techno,391,RENAULT-5,https://mirkod40.sg-host.com/noleggiolungotermine/renault-5/,noleggiolungotermine,default,48,2820,20000,automatico,Elettrica,1,garanzia_mobilita,RENAULT-5,1731,,,,,,,,,,,,,,,,,,
OPEL Corsa,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/OPEL-Corsa.avif,OPEL,SUV / Crossover,Corsa,CORSA 1.2 Edition ,369,OPEL-Corsa,https://mirkod40.sg-host.com/noleggiolungotermine/opel-corsa/,noleggiolungotermine,default,48,2220,20000,manuale,Benzina,1,garanzia_mobilita,OPEL-Corsa,1735,,,,,,,,,,,,,,,,,,
BMW X1,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/X1-sDrive-18d.avif,BMW,SUV / Crossover,sDrive ,sDrive 18d,587,BMW-X1-x,https://mirkod40.sg-host.com/?post_type=noleggiolungotermine&#038;p=1687,noleggiolungotermine,default,48,3740,40000,automatico,Diesel,1,garanzia_mobilita,BMW-X1-x,1688,,,,,,,,,,,,,,,,publish,1768323646,bmw-x1-copy
SEAT Leon Sportstourer,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/Leon-Sportstourer.avif,SEAT,Station Wagon,Leon Sportstourer,Leon Sportstourer 2.0 TDI 150 CV DSG Business,382,SEAT-Leon-Sportstourer,https://mirkod40.sg-host.com/noleggiolungotermine/seat-leon-sportstourer/,noleggiolungotermine,default,48,2930,30000,automatico,Diesel,1,garanzia_mobilita,SEAT-Leon-Sportstourer,1737,,,,,,,,,,,,,,,,,,
VOLKSWAGEN T-Cross 1.5,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/VOLKSWAGEN-T-Cross-1.5.png,VOLKSWAGEN,SUV / Crossover,T-Cross,T-Cross 1.0 TSI 115 CV Edition Plus,358,VOLKSWAGEN-T-Cross,https://mirkod40.sg-host.com/noleggiolungotermine/volkswagen-t-cross/,noleggiolungotermine,default,48,2360,20000,automatico,Benzina,1,garanzia_mobilita,VOLKSWAGEN-T-Cross,1787,,,,,,,,,,,,,,,,,,
VOLKSWAGEN Tiguan,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/VOLKSWAGEN-Tiguan.avif,VOLKSWAGEN,SUV / Crossover,Tiguan,Passat 2.0 TDI 122 CV SCR DSG Business,570,VOLKSWAGEN-Tiguan,https://mirkod40.sg-host.com/noleggiolungotermine/volkswagen-tiguan/,noleggiolungotermine,default,48,3690,30000,automatico,Diesel,1,garanzia_mobilita,VOLKSWAGEN-Tiguan,1745,,,,,,,,,,,Si,false,,,,,,
SKODA Kamiq,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/SKODa-Kamiq.avif,SKODA,SUV / Crossover,Kamiq,Fabia 1.0 MPI 80 CV Selection,329,SKODa-Kamiq,https://mirkod40.sg-host.com/noleggiolungotermine/skoda-kamiq/,noleggiolungotermine,default,48,2270,20000,manuale,Benzina,1,garanzia_mobilita,SKODa-Kamiq,1751,,,,,,,,,,,,,,,,,,
SKODA Octavia,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/SKODA-Octavia.avif,SKODA,SUV / Crossover,Octavia,Fabia 1.0 MPI 80 CV Selection,435,SKODA-Octavia,https://mirkod40.sg-host.com/noleggiolungotermine/skoda-octavia/,noleggiolungotermine,default,48,3140,30000,automatico,Diesel,1,garanzia_mobilita,SKODA-Octavia,1753,,,,,,,,,,,,,,,,,,
LANCIA Ypsilon,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/LANCIA-Ypsilon.avif,LANCIA,Berlina,Ypsilon,Fabia 1.0 MPI 80 CV Selection,327,LANCIA-Ypsilon,https://mirkod40.sg-host.com/noleggiolungotermine/lancia-ypsilon/,noleggiolungotermine,default,48,2410,20000,automatico,Ibrida,1,garanzia_mobilita,LANCIA-Ypsilon,1755,,,,,,,,,,,,,,,,,,
VOLVO EX30,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/VOLVO-EX30.avif,VOLVO,SUV / Crossover,EX30,EX30 Single Motor RWD Core,519,VOLVO-EX30,https://mirkod40.sg-host.com/noleggiolungotermine/suzuki-swift-copy/,noleggiolungotermine,default,48,3160,30000,manuale,Elettrica,1,garanzia_mobilita,VOLVO-EX30,1763,,,,,,,,,,,false,false,,,,,,
JEEP Avenger,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/JEEP-Avenger.avif,JEEP,SUV / Crossover,Avenger,Avenger BEV Longitude,626,JEEP-Avenger,https://mirkod40.sg-host.com/noleggiolungotermine/jeep-avenger/,noleggiolungotermine,default,48,3320,20000,manuale,Elettrica,1,garanzia_mobilita,JEEP-Avenger,1765,,,,,,,,,,,false,false,,,,,,
BMW 318d,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/BMW-318d-1.jpg,BMW,SUV / Crossover,318d,318d 48V Touring,590,BMW-318d,https://mirkod40.sg-host.com/noleggiolungotermine/bmw-318d/,noleggiolungotermine,default,48,4620,30000,automatico,Ibrida,1,garanzia_mobilita,BMW-318d,1776,,,,,,,,,,,,false,,,,,,
FIAT PANDA 1.0 Firefly,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/FIAT_Panda.png,FIAT,City Car,,,550,,https://mirkod40.sg-host.com/noleggiolungotermine/fiat-panda-1-0-firefly/,noleggiolungotermine,,,,,manuale,Ibrida,1,garanzia_mobilita,,1781,,,35,60,200,420,550,1500,,,No,true,,,,,,
FIAT GRANDE PANDA Hybrid,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/fiat-grande-panda.png,FIAT,SUV / Crossover,,,670,,https://mirkod40.sg-host.com/noleggiolungotermine/fiat-grande-panda-hybrid/,noleggiolungotermine,,,,,manuale,Ibrida,1,garanzia_mobilita,,1783,,,38,60,230,420,670,1500,,,No,true,,,,,,
ALFA ROMEO TONALE 1.5,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/ALFA-ROMEO-TONALE-1.5.png,ALFA,SUV / Crossover,,,1050,,https://mirkod40.sg-host.com/noleggiolungotermine/alfa-romeo-tonale-1-5/,noleggiolungotermine,,,,,automatico,Ibrida,1,garanzia_mobilita,,1791,,,50,100,325,700,1050,2000,,,No,true,,,,,,
PEUGEOT 3008,https://mirkod40.sg-host.com/wp-content/uploads/2026/01/PEUGEOT-3008.avif,PEUGEOT,SUV / Crossover,PEUGEOT 3008,3008 Hybrid 145 e-DCS6 Allure,426,PEUGEOT-3008,https://mirkod40.sg-host.com/noleggiolungotermine/peugeot-3008/,noleggiolungotermine,default,48,3430,30000,automatico,Diesel,1,garanzia_mobilita,PEUGEOT-3008,1725,,,50,100,325,700,1000,2000,,,,true,,,,,,